property_id,property_address,suburb,postcode,property_type,sale_price_aud,bedrooms,bathrooms,parking,listed_area_m2,sale_date,sale_year,sale_month,missing_feature_count,source_page,source_url,,,,,,,verification_status
L007,"505/17 Shepherd Street, Liverpool, NSW 2170",Liverpool,2170,Unit,570000,2,2,1,131,9/11/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L008,"202/21 Atkinson Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,530000,2,2,1,106,9/11/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L009,"3/1 Stanton Street, Liverpool, NSW 2170",Liverpool,2170,Townhouse,770000,3,1,1,178,9/3/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L010,"308/6B Atkinson Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,412000,1,1,1,84,8/31/2026,2026,8,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L011,"42/87-91 Campbell Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,410000,1,1,1,,8/28/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L012,"9/53 Goulburn Street, Liverpool, NSW 2170",Liverpool,2170,Unit,423000,2,1,1,,8/27/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L013,"503/311 Hume Highway, Liverpool, NSW 2170",Liverpool,2170,Apartment,570000,2,2,1,,8/25/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L014,"4/44-46 Passefield Street, Liverpool, NSW 2170",Liverpool,2170,Townhouse,875000,3,2,1,233,8/24/2026,2026,8,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L015,"8/9-11 Bathurst Street, Liverpool, NSW 2170",Liverpool,2170,Unit,660000,3,1,2,,8/24/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L016,"1303/30 Shepherd Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,539000,2,2,1,,8/24/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L017,"2/30 Speed Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,385000,2,1,1,,8/24/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L018,"8 Angelo Avenue, Liverpool, NSW 2170",Liverpool,2170,House,935000,3,1,1,171,8/22/2026,2026,8,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L019,"5/10 Christie Street, Liverpool, NSW 2170",Liverpool,2170,House,870000,3,2,1,,8/22/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L020,"10/50 Castlereagh Street, Liverpool, NSW 2170",Liverpool,2170,Unit,433000,2,1,1,,8/21/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L021,"66/387 Macquarie Street, Liverpool, NSW 2170",Liverpool,2170,Unit,570000,2,2,1,,8/19/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L022,"40/387 Macquarie Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,431000,1,1,1,,8/19/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L023,"B601/17 Shepherd Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,555000,2,2,1,112,8/13/2026,2026,8,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L024,"401/21 Charles Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,550000,2,2,1,,8/13/2026,2026,8,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L025,"20/8 Beale Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,450000,2,1,1,102,8/13/2026,2026,8,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L026,"805/311 Hume Highway, Liverpool, NSW 2170",Liverpool,2170,Unit,610000,2,2,1,,8/12/2026,2026,8,1,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-2",,,,,,,Verified
L027,"2508/311 Hume Highway, Liverpool, NSW 2170",Liverpool,2170,Apartment,625000,2,2,1,,8/11/2026,2026,8,1,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-2",,,,,,,Verified
L028,"1/58-60 Copeland Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,412000,2,1,1,,8/11/2026,2026,8,1,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-2",,,,,,,Verified
L029,"1/10 Tobruk Avenue, Liverpool, NSW 2170",Liverpool,2170,Townhouse,962000,4,3,1,241,8/10/2026,2026,8,0,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-2",,,,,,,Verified
L030,"91/1 Riverpark Drive, Liverpool, NSW 2170",Liverpool,2170,Apartment,515000,2,1,2,112,8/10/2026,2026,8,0,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L031,"1610/32 Shepherd Street, Liverpool, NSW 2170",Liverpool,2170,Unit,480000,1,1,1,76,8/10/2026,2026,8,0,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L032,"8/22 Nagle Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,420000,2,1,1,77,8/10/2026,2026,8,0,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L033,"32/17-19 Speed Street, Liverpool, NSW 2170",Liverpool,2170,Apartment,385000,2,1,1,79,8/10/2026,2026,8,0,Liverpool sold listings page 2,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
